,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
9586,2023-02-28 02:49:02+00:00,1630399647624892417,https://twitter.com/r_t_yadav/status/1630399647624892417,r_t_yadav,Twitter for Android,,"@mybmcWardPN Today is 28 Feb 2023 and almost 28days gone. @mybmc not able to stop #drinking #water #pipe leakage on below location. 
#Adani #electricity gate opposite #Dindoshi #Metro station Western Express #Highway #Malad East #Mumbai- 400097 
@CMOMaharashtra @mieknathshinde @VinodMishra4U https://t.co/Odx86YXXBY",0,0
9587,2023-02-28 02:49:00+00:00,1630399641660579841,https://twitter.com/gerryshih/status/1630399641660579841,gerryshih,Twitter Web App,New Delhi,"After the Post report, The Daily Star also obtained the Adani Godda contract and sought comment from BPDB secretary who signed: ""I don't remember anything."" 
The BPDB chairman: ""I am not interested in talking about this."" 
https://t.co/BJhExyNe5a",2,2
9588,2023-02-28 02:48:58+00:00,1630399631741034496,https://twitter.com/RashtraPrahari7/status/1630399631741034496,RashtraPrahari7,Twitter for Android,  इन्द्रलोक पुरी,"@AshwiniUpadhyay @SinghaniaGautam @RNTata2000 @anandmahindra @nikunjdalmia @VinayakDalmia @anantgoenka @punitgoenka @gautam_adani @mpparimal @AnupamPKher पूरा देश जल रहा है और आप नाम बदलने को बेचैन हैं। पिछले आठ वर्षों से लोग न्यायालय के चक्कर लगा रहे हैं,कभी जजों की कमी,कभी वकीलों की हड़ताल,कभी लाक डाउन, केवल नेताओं ओर अभिनेताओं को
सुना गया।",0,0
9589,2023-02-28 02:48:55+00:00,1630399618646446080,https://twitter.com/RockyRana27/status/1630399618646446080,RockyRana27,Twitter for Android,"नई दिल्ली, भारत",@pbhushan1 Wipro share is also down.. sabk share down hai abhi.. only adani port  stock is giving profit to me.,0,0
9590,2023-02-28 02:48:53+00:00,1630399611704860673,https://twitter.com/PriyamS77759825/status/1630399611704860673,PriyamS77759825,Twitter for Android,,"@beingarun28 Adani port pr drugs baramad hui... Krwao jaanch. 
So called Dry state Guj me zehrili sharab se bahut logo ki jaan gyi... Kaha tk pahuchi jaanch? 

Mudda ghotale ki janch h hi nhi... 

AAP ko rokna h.... 
#ModiFearsKejriwal",0,0
9591,2023-02-28 02:48:48+00:00,1630399589659582464,https://twitter.com/SSannjoy/status/1630399589659582464,SSannjoy,Twitter for Android,,"Adani 

Modi 

Ka kya RISTA HAI 

MODI JO BOLO",0,0
9592,2023-02-28 02:48:35+00:00,1630399536018624512,https://twitter.com/kumarp90529727/status/1630399536018624512,kumarp90529727,Twitter for Android,INDIA,@pbhushan1 Hamara Paisa utha ke adani ko dedia. Paise lagane se pehele ek bar investigation to karlete itni zyada price high Q hai,0,0
9593,2023-02-28 02:48:33+00:00,1630399527969775616,https://twitter.com/wv9tb4wmh9/status/1630399527969775616,wv9tb4wmh9,Twitter for iPad,,@ashumadan4 Sir Adani air nationalism ke nam par hamare KHACCHE phat gaye.,0,0
9594,2023-02-28 02:48:30+00:00,1630399514636079104,https://twitter.com/pronnay1989/status/1630399514636079104,pronnay1989,Twitter for Android,,@narendramodi Is this airport also given to adani,0,0
9595,2023-02-28 02:48:28+00:00,1630399504984702978,https://twitter.com/alok_bhatt/status/1630399504984702978,alok_bhatt,Twitter for iPhone,Bharat,"After the Adani meltdown, the spotlight is on Vedanta Resources —- 

I wrote earlier that they are after big 3 - Adani done, now Vedanta and sooner or later they will go after Ambanis as well!  https://t.co/UmPXEStSl3",210,79
9596,2023-02-28 02:48:15+00:00,1630399452002369536,https://twitter.com/Mr_Per_Fact/status/1630399452002369536,Mr_Per_Fact,Twitter Web App,,@AamAadmiParty @SanjayAzadSln aise hi ek pichhali baar RaGa ne chaukidar bola tha anjam aapke samne hai. aur ye adani ka naukar bol rahe hain. hahahahahahaha aage to waqt batayega,0,0
9597,2023-02-28 02:48:10+00:00,1630399429931827207,https://twitter.com/umakantsingh_IN/status/1630399429931827207,umakantsingh_IN,Twitter Web App,New Delhi,"Adani is here to stay, he to rule the corporate growth in the world, to rise like none! Thousands of falsehoods to be defeated all, through ""one"" truth! रंगा बिल्ला #AdaniScam #stockmarketcrash #AdaniEnterprises",1,0
9598,2023-02-28 02:47:59+00:00,1630399386692857856,https://twitter.com/SwetankMahapat2/status/1630399386692857856,SwetankMahapat2,Twitter Web App,Wonderland ,"ANIL AGARWAL: MAN ONCE SIGNED MOU WITH ODISHA GOVT TO MAKE 2ND STANFORD-LIKE UNIVERSITY
 read
https://t.co/Hyt8CUUuRT

#AnilAgarwal #Vedanta #GautamAdani #AdaniScam #HindenburgReport https://t.co/4RN8vWVEN5",0,0
9599,2023-02-28 02:47:55+00:00,1630399367395045377,https://twitter.com/StrategyR/status/1630399367395045377,StrategyR,Twitter Web App,Vande Mataram,"@ysathishreddy @KTRBRS @prakashraaj @aartic02 @LambaAlka @ranvijaylive @PankajSinghAAP @RajeevRai @TRBRajaa @isai_ @KonathamDileep @BJP4India @BJP4Telangana Allegations against CHINA-C19 Multi Fold Bigger compared to Adani 

But, Amercian Media Companies like @nytimes @washingtonpost @CNN @business  Not putting this News as Headline, Front Page
https://t.co/zvJIbdYHc0

But, they chose to cover Adani Central Point of News",0,0
9600,2023-02-28 02:47:52+00:00,1630399356217196546,https://twitter.com/AAPEyes/status/1630399356217196546,AAPEyes,Twitter for Android,"bangalore, India",So Karnataka is going to sell itself to adani every 150-200 kms,1,0
9601,2023-02-28 02:47:42+00:00,1630399314919825410,https://twitter.com/sritara/status/1630399314919825410,sritara,Twitter for Android,Bangalore,Adani's does an Enron in Bangladesh  https://t.co/OGnI6MJowg,3,3
